terrname	free	outdate	indate
Santa Rosa 1	TRUE		
Santa Rosa 22	TRUE		
Santa Rosa 31	TRUE		
Santa Rosa 26	TRUE		
Santa Rosa 2	TRUE		
Santa Rosa 3	TRUE		
Santa Rosa 4	TRUE		
Santa Rosa 5	TRUE		
Kelseyville 1	TRUE		
Santa Rosa 8	TRUE		
Santa Rosa 7	TRUE		
Santa Rosa 10	TRUE		
Santa Rosa 11	TRUE		
Santa Rosa 12	TRUE		
Santa Rosa 13	TRUE		
Santa Rosa 14	TRUE		
Santa Rosa 15	TRUE		
Santa Rosa 16	TRUE		
Santa Rosa 17	TRUE		
Santa Rosa 18	TRUE		
Santa Rosa 19	TRUE		
Santa Rosa 20	TRUE		
Santa Rosa 21	TRUE		
Santa Rosa 6	TRUE		
Santa Rosa 9	TRUE		
Santa Rosa 23	TRUE		
Santa Rosa 24	TRUE		
Santa Rosa 25	TRUE		
Santa Rosa 27	TRUE		
Santa Rosa 28	TRUE		
Santa Rosa 29	TRUE		
Santa Rosa 30	TRUE		
Cloverdale 1	TRUE		
Santa Rosa 32	TRUE		
Lakeport 1	TRUE		
Clearlake 1	TRUE		
Windsor 01	TRUE		
Windsor 02	TRUE		
Windsor 03	TRUE		
Windsor 04	TRUE		
Windsor 05	TRUE		
Healdsburg 1	TRUE		
Healdsburg 2	TRUE		
Rohnert Park 1	TRUE		
Rohnert Park 2	TRUE		
Rohnert Park 3	TRUE		
Rohnert Park 4	TRUE		
Rohnert Park 5	TRUE		
Rohnert Park 6	TRUE		
Rohnert Park 7	TRUE		
Rohnert Park 8	TRUE		
Rohnert Park 10	TRUE		
Rohnert Park 9	TRUE		
Petaluma 2	TRUE		
Petaluma 3	TRUE		
Petaluma 4	TRUE		
Petaluma 5	TRUE		
Petaluma 6	TRUE		
Petaluma 7	TRUE		
Petaluma 8	TRUE		
Petaluma 1	TRUE		
Petaluma 9	TRUE		
Petaluma 10	TRUE		
Petaluma 11	TRUE		
Petaluma 12	TRUE		
Sebastapol 1	TRUE		
Novato 1	TRUE		
Middletown 1	TRUE		
Forestville 1	TRUE		
Sonoma 3	TRUE		
Sonoma 2	TRUE		
Calistoga 1	TRUE		
Napa 3	TRUE		
Napa 4	TRUE		
Napa 2	TRUE		
Sebastapol 2	TRUE		
Clearlake 2	TRUE		
Nice 1	TRUE		
St. Helena 1	TRUE		
Novato 2	TRUE		
Novato 5	TRUE		
Novato 4	TRUE		
Novato 8	TRUE		
Novato 10	TRUE		
Novato 9	TRUE		
Novato 7	TRUE		
Novato 12	TRUE		
Novato 11	TRUE		
Novato 13	TRUE		
Sonoma 1	TRUE		
Novato 6	TRUE		
Novato 3	TRUE		
Napa 1	TRUE		
Napa 6	TRUE		
Napa 5	TRUE		
San Rafael 1	TRUE		
